,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
10,10,1910.0,6.0224027656,134.76361,1.121177,0.29375,,,,0.28348207827101524,277.01467,721.89411,272.95961,45.17453236816034,913.6809921190427,10.777957799012558,0.13042236345227126,282.71722906083977,1038.3533064945423,274.32015404289587,0.10901557209679082,0.1698106051380683,0.004655901036156109,0.28348207827101524,0.010267921728984775,0.010267921728984775,0.29375,0.06888568854122745,0.10972887730946505,0.08073021328401636
11,11,1911.0,5.9266611268,135.96943,1.1389722,0.302692,,,,0.30184455082116984,277.01467,721.89411,272.95961,49.20500896933341,962.7021798175285,11.822799964160192,0.13741983764076884,283.22601198911025,1055.3321052263536,274.45204858266555,0.11863487382924774,0.178103045658262,0.005106631333660148,0.30184455082116984,0.000847449178830173,0.000847449178830173,0.302692,0.07134279586934929,0.11306911772104374,0.08344342920634068
12,12,1912.0,5.970533738099999,137.17525,1.1575596,0.311634,,,,0.31948902316609185,277.01467,721.89411,272.95961,53.21116336144892,1008.2642047236826,12.877104328480861,0.14392353753513823,283.7317246291814,1071.1128010237194,274.585137573087,0.1281790185411723,0.18574867266270717,0.005561331962212396,0.31948902316609185,-0.007855023166091823,-0.007855023166091823,0.311634,0.07398881213262624,0.11640935813262242,0.08629077047262514
13,13,1913.0,6.1141457192,138.38107,1.1767464,0.320576,,,,0.3367167559569729,277.01467,721.89411,272.95961,57.29034997226143,1050.696249700257,13.941387653208059,0.14998045197211599,284.2466564137269,1085.8094084553397,274.71948624696506,0.13787968988375496,0.19281684329837356,0.006020222774844355,0.3367167559569729,-0.016140755956972896,-0.016140755956972896,0.320576,0.07673171573205131,0.1197495985442011,0.08920690174757476
14,14,1914.0,5.7427848417,139.5869,1.1962611,0.329518,,,,0.3523373308066609,277.01467,721.89411,272.95961,60.91520008256724,1090.2961817188466,15.015890686405548,0.15563309963685007,284.7042355132126,1099.52509563274,274.8551249948756,0.1464851732208932,0.19936875317215774,0.0064834044136100315,0.3523373308066609,-0.02281933080666093,-0.02281933080666093,0.329518,0.07952615850189966,0.12308983895577975,0.09215962583352488
15,15,1915.0,5.6655611421,140.79272,1.2158443,0.33846,,,,0.3672470870631985,277.01467,721.89411,272.95961,64.43907533709854,1127.3335019609463,16.10059267354734,0.16091995017175095,285.149068159143,1112.3532059964487,274.99205119689304,0.1548376917507656,0.20545853060444813,0.006950864707984746,0.3672470870631985,-0.02878708706319849,-0.02878708706319849,0.33846,0.08234884378418926,0.12643007936735842,0.09513240210330831
16,16,1916.0,5.9054574449,141.99854,1.2353217,0.347402,,,,0.3822305330423421,277.01467,721.89411,272.95961,68.17298905404209,1162.0520751797792,17.195298741368525,0.16587581377616847,285.6204147870487,1124.3782036477485,275.13024025339803,0.16367385103354085,0.21113416554795533,0.007422516460845928,0.3822305330423421,-0.034828533042342125,-0.034828533042342125,0.347402,0.0851873722673915,0.1297703197789371,0.09811642704573972
17,17,1917.0,6.1149403843,143.20436,1.254519,0.356344,,,,0.39716080644651997,277.01467,721.89411,272.95961,72.046226331194,1194.672559329,18.299641418543235,0.17053218802100395,286.109348776439,1135.6765148659601,275.2696457770385,0.1728243191309621,0.2164382891153225,0.00789819820023535,0.39716080644651997,-0.04081680644651997,-0.04081680644651997,0.356344,0.08803496475118198,0.1331105601905158,0.10110688742858878
18,18,1918.0,6.0566166342,144.41019,1.2732618,0.365286,,,,0.41140809181805027,277.01467,721.89411,272.95961,75.77620675929423,1225.3946239816644,19.41308204308168,0.17491757451442433,286.5801988898097,1146.3172964718983,275.41019977039076,0.18162157650853597,0.22140884042588818,0.008377674883626111,0.41140809181805027,-0.04612209181805027,-0.04612209181805027,0.365286,0.09088785426476138,0.13645080060209447,0.10410110870258799
19,19,1919.0,5.5991514278,145.61601,1.2913759,0.374228,,,,0.4241303090239602,277.01467,721.89411,272.95961,78.99009794061688,1254.3989176387145,20.534912457435546,0.17905775972309676,286.98590102585484,1156.3631172176206,275.5518128399398,0.1891900391151752,0.2260796311816589,0.008860638727126086,0.4241303090239602,-0.0499023090239602,-0.0499023090239602,0.374228,0.09374394210113539,0.13979104101367315,0.10709760078577135
20,20,1920.0,6.0675499679,146.82183,1.3086869,0.38317,,,,0.4376866286605247,277.01467,721.89411,272.95961,82.67693122578993,1281.848907823317,21.664256288799134,0.18297607763437812,287.45130450551517,1165.8705951147538,275.69437435769635,0.19785907773943637,0.23048084106438327,0.00934670985670508,0.4376866286605247,-0.0545166286605247,-0.0545166286605247,0.38317,0.09660207778566203,0.14313128142525183,0.11009554684114307
21,21,1921.0,5.7267289219999995,147.86155,1.3257924,0.392923,,,,0.44997925681331863,277.01467,721.89411,272.95961,85.94448462056057,1307.7264060670648,22.800842418228832,0.18666993195584544,287.86378063401764,1174.833430472106,275.8378500992488,0.20553051804266625,0.23461296959118827,0.009835769179464104,0.44997925681331863,-0.05705625681331861,-0.05705625681331861,0.392923,0.09946165974921792,0.1467744669244832,0.11318237383004486
22,22,1922.0,5.8460930663,148.90128,1.343275,0.402676,,,,0.46226252070724855,277.01467,721.89411,272.95961,89.31476079796815,1332.1810647631678,23.944984694616963,0.19016068464970137,288.28922386376433,1183.3034563435742,275.98227968297823,0.21343161957324067,0.23850295181607595,0.010327949317931937,0.46226252070724855,-0.05958652070724857,-0.05958652070724857,0.402676,0.10238505231770044,0.15041765242371455,0.11631450634844454
23,23,1923.0,6.3244676206,149.941,1.3609385,0.412429,,,,0.4753372075297322,277.01467,721.89411,272.95961,93.12025530971815,1355.3482749967002,25.096798025834975,0.19346766196379162,288.76960641719285,1191.327566288688,276.1276776141578,0.22233902075891784,0.24217488957752162,0.010823297193292726,0.4753372075297322,-0.0629082075297322,-0.0629082075297322,0.412429,0.10534834211119076,0.15406083792294592,0.11947496589659976
24,24,1924.0,6.311888328599999,150.98072,1.3796194,0.422182,,,,0.48794170069182163,277.01467,721.89411,272.95961,96.8133210200122,1377.3505536875055,26.257232816198535,0.19660835243775554,289.2357966404116,1198.948194818338,276.2741638660656,0.23096910698943954,0.245650374873881,0.011322218828501089,0.48794170069182163,-0.06575970069182163,-0.06575970069182163,0.422182,0.10833866516688383,0.15770402342217726,0.12265461906091893
25,25,1925.0,6.3604349418,152.02045,1.3998974,0.431935,,,,0.5003171629382634,277.01467,721.89411,272.95961,100.48825659472382,1398.2987687290022,27.42781086960192,0.19959858178408577,289.69969822524223,1206.203741729358,276.4219305419983,0.23954302941100294,0.24894876816751532,0.011825365359745254,0.5003171629382634,-0.06838216293826344,-0.06838216293826344,0.431935,0.11134862801645419,0.16134720892140864,0.12584821647889097
26,26,1926.0,6.4022535642,153.06017,1.4211909,0.441688,,,,0.5124841688803329,277.01467,721.89411,272.95961,104.14616359917243,1418.2932175396118,28.60945909916056,0.2024526668447339,290.1614502266117,1213.1289456676404,276.57109464984734,0.24806359933051247,0.2520874379555633,0.012333131594257083,0.5124841688803329,-0.07079616888033285,-0.07079616888033285,0.441688,0.11437371187099078,0.16499039442064,0.12905254981038905
27,27,1927.0,6.8232009861,154.09989,1.4429184,0.451441,,,,0.5253506780782792,277.01467,721.89411,272.95961,108.17091971479707,1437.4246629764557,29.80251482273053,0.20518356346144523,290.6695110354714,1219.7552429234051,276.72169877057365,0.25742303848550485,0.2550819809691099,0.012845658623664331,0.5253506780782792,-0.0739096780782792,-0.0739096780782792,0.451441,0.11741099937695731,0.16863357991987135,0.13226554773440238
28,28,1928.0,6.843344074699999,155.13962,1.4644982,0.461194,,,,0.5378925888352224,277.01467,721.89411,272.95961,112.11686653996242,1455.7752406688255,31.006730712179195,0.2078029959920516,291.16762343734536,1226.1110816918904,276.87371168297346,0.26658334071848927,0.257946411823517,0.013362836293216076,0.5378925888352224,-0.0766985888352224,-0.0766985888352224,0.461194,0.12045851538076474,0.17227676541910272,0.13548580789188275
